"Name";"Nation";"Division";"Rep";"Av Age";"Balance";"Trn Budget S";"Trn Budget R";"Wage Budget";"Status";"TF";"YF";"JC";"Stad Cap";"Av Att";"Rating";"Pot Rating";"Unique ID";"Division ID"
"Levante";"Spain";"LaLiga";"6.550";"24,9";"10.484.230";"2.572.390";"2.572.390";"135.320";"Professional";"15";"15";"12";"26.354";"15.000";"73,6%";"78,4%";"1.717";"67"
"Real Oviedo";"Spain";"LaLiga";"6.100";"26,7";"2.991.560";"4.245.400";"4.245.400";"148.290";"Professional";"15";"13";"14";"30.500";"11.000";"75,3%";"79,6%";"1.741";"67"
"Celta";"Spain";"LaLiga";"6.900";"25,9";"28.640.700";"17.149.290";"17.149.290";"438.140";"Professional";"16";"16";"14";"24.791";"14.000";"78,5%";"82,2%";"1.724";"67"
"Sevilla";"Spain";"LaLiga";"8.000";"27,5";"37.336.600";"4.287.320";"4.287.320";"513.820";"Professional";"16";"16";"16";"43.883";"30.000";"77,8%";"81,7%";"1.759";"67"
"Valencia";"Spain";"LaLiga";"7.600";"24,7";"32.662.910";"1.714.930";"1.714.930";"395.940";"Professional";"16";"16";"17";"49.430";"43.858";"77,4%";"81,6%";"1.775";"67"
"Atlético";"Spain";"LaLiga";"8.550";"26,1";"23.706.460";"4.287.320";"4.287.320";"2.089.530";"Professional";"17";"17";"16";"68.456";"47.000";"82,9%";"85,8%";"1.687";"67"
"Espanyol";"Spain";"LaLiga";"6.900";"24,6";"11.626.400";"4.287.320";"4.287.320";"157.520";"Professional";"17";"17";"17";"40.000";"18.000";"74,9%";"79,3%";"1.725";"67"
"Villarreal";"Spain";"LaLiga";"7.850";"24,8";"27.846.880";"12.861.970";"12.861.970";"467.790";"Professional";"17";"17";"17";"23.000";"17.000";"79,0%";"83,6%";"1.777";"67"
"Athletic";"Spain";"LaLiga";"7.500";"25,2";"27.583.400";"21.436.620";"21.436.620";"742.280";"Professional";"18";"18";"17";"53.332";"40.000";"79,0%";"82,8%";"1.664";"67"
"Real Madrid";"Spain";"LaLiga";"9.150";"25,2";"224.000.550";"21.436.620";"21.436.620";"4.930.730";"Professional";"18";"18";"18";"81.044";"68.000";"86,3%";"89,8%";"1.736";"67"
"Real Sociedad";"Spain";"LaLiga";"7.600";"24,9";"44.765.200";"1.286.200";"1.286.200";"540.550";"Professional";"18";"18";"15";"39.500";"27.000";"79,6%";"83,6%";"1.742";"67"
"Barcelona";"Spain";"LaLiga";"8.950";"23,5";"-31.388.010";"2.143.660";"2.143.660";"2.471.090";"Professional";"19";"19";"20";"56.000";"55.000";"84,2%";"88,9%";"1.708";"67"
"Angers";"France";"Ligue 1";"6.400";"0,0";"7.635.840";"0";"0";"0";"Professional";"11";"14";"9";"19.350";"9.630";"0,0%";"0,0%";"875";"16"
"Strasbourg";"France";"Ligue 1";"6.550";"21,1";"5.246.810";"0";"0";"0";"Professional";"12";"14";"9";"29.000";"25.279";"52,7%";"59,7%";"872";"16"
"Brest";"France";"Ligue 1";"6.350";"24,0";"10.810.440";"0";"0";"0";"Professional";"12";"12";"9";"15.583";"12.688";"13,7%";"15,1%";"2.061";"16"
"Paris FC";"France";"Ligue 1";"5.550";"31,7";"0";"0";"0";"0";"Professional";"13";"12";"8";"20.842";"4.135";"21,4%";"21,7%";"867";"16"
"Metz";"France";"Ligue 1";"6.150";"28,5";"5.964.970";"0";"0";"0";"Professional";"14";"16";"12";"28.786";"15.848";"13,7%";"14,1%";"844";"16"
"Nantes";"France";"Ligue 1";"6.700";"34,0";"3.853.770";"0";"0";"0";"Professional";"14";"15";"16";"38.004";"30.002";"14,1%";"14,1%";"846";"16"
"Havre AC";"France";"Ligue 1";"6.000";"0,0";"2.607.490";"0";"0";"0";"Professional";"15";"15";"14";"25.278";"12.483";"0,0%";"0,0%";"856";"16"
"Toulouse";"France";"Ligue 1";"6.350";"22,7";"3.341.410";"0";"0";"0";"Professional";"15";"15";"16";"33.105";"23.965";"19,7%";"22,3%";"886";"16"
"Lorient";"France";"Ligue 1";"6.300";"24,5";"4.927.960";"0";"0";"0";"Professional";"15";"15";"12";"18.110";"14.992";"11,9%";"14,4%";"2.005";"16"
"Auxerre";"France";"Ligue 1";"6.250";"22,0";"925.170";"0";"0";"0";"Professional";"16";"16";"13";"19.154";"15.606";"20,5%";"21,6%";"824";"16"
"Lille";"France";"Ligue 1";"7.150";"31,0";"11.276.240";"0";"0";"0";"Professional";"16";"16";"11";"49.834";"36.187";"50,7%";"51,6%";"858";"16"
"Marseille";"France";"Ligue 1";"7.750";"27,4";"5.846.350";"0";"0";"0";"Professional";"16";"16";"13";"67.354";"62.716";"78,8%";"82,1%";"866";"16"
"Lens";"France";"Ligue 1";"6.850";"26,2";"6.496.670";"0";"0";"0";"Professional";"16";"16";"14";"38.223";"37.704";"27,7%";"29,7%";"871";"16"
"Rennes";"France";"Ligue 1";"7.300";"28,9";"27.960.800";"0";"0";"0";"Professional";"16";"17";"17";"31.127";"27.720";"56,4%";"57,8%";"884";"16"
"Nice";"France";"Ligue 1";"7.100";"27,6";"9.799.600";"0";"0";"0";"Professional";"17";"17";"14";"35.624";"22.430";"76,8%";"79,8%";"862";"16"
"Lyon";"France";"Ligue 1";"7.750";"27,7";"6.368.440";"0";"0";"0";"Professional";"17";"18";"16";"59.186";"46.701";"75,5%";"79,6%";"865";"16"
"Monaco";"France";"Ligue 1";"7.500";"27,6";"55.320.300";"0";"0";"0";"Professional";"18";"18";"15";"18.521";"6.870";"78,9%";"81,9%";"826";"16"
"PSG";"France";"Ligue 1";"8.750";"24,2";"146.421.260";"25.723.940";"25.723.940";"2.080.430";"Professional";"20";"20";"17";"47.926";"47.418";"81,8%";"86,6%";"868";"16"
"Como";"Italy";"Serie A";"5.700";"25,8";"2.041.580";"0";"0";"0";"Professional";"10";"12";"10";"13.602";"5.140";"75,7%";"80,1%";"1.123";"32"
"Pisa";"Italy";"Serie A";"5.800";"29,7";"6.088.500";"0";"0";"0";"Professional";"11";"9";"8";"9.942";"7.900";"42,1%";"44,7%";"2.215";"32"
"Sassuolo";"Italy";"Serie A";"6.700";"26,4";"28.903.300";"0";"0";"0";"Professional";"12";"18";"14";"21.525";"13.000";"62,7%";"66,0%";"3.800.256";"32"
"Hellas Verona";"Italy";"Serie A";"6.500";"25,7";"1.948.780";"0";"0";"0";"Professional";"13";"13";"13";"31.713";"19.098";"46,7%";"49,1%";"2.201";"32"
"Cagliari";"Italy";"Serie A";"6.350";"30,0";"9.827.670";"0";"0";"0";"Professional";"14";"13";"12";"16.416";"15.399";"21,2%";"22,2%";"1.114";"32"
"Udinese";"Italy";"Serie A";"6.550";"23,5";"15.546.100";"0";"0";"0";"Professional";"14";"12";"12";"25.132";"20.315";"52,1%";"57,4%";"1.178";"32"
"Lecce";"Italy";"Serie A";"6.250";"23,0";"9.884.320";"0";"0";"0";"Professional";"15";"14";"12";"31.461";"24.000";"19,1%";"21,8%";"1.141";"32"
"Torino";"Italy";"Serie A";"6.750";"25,5";"13.450.420";"0";"0";"0";"Professional";"15";"14";"14";"28.177";"20.585";"75,1%";"80,9%";"1.174";"32"
"Bologna";"Italy";"Serie A";"6.550";"28,1";"15.546.100";"0";"0";"0";"Professional";"16";"16";"13";"38.279";"22.900";"77,0%";"80,2%";"1.111";"32"
"Genoa";"Italy";"Serie A";"6.500";"26,5";"9.743.920";"0";"0";"0";"Professional";"16";"15";"13";"33.205";"31.032";"54,1%";"55,9%";"1.132";"32"
"Parma";"Italy";"Serie A";"6.150";"26,5";"5.964.970";"0";"0";"0";"Professional";"16";"13";"12";"22.352";"11.158";"26,5%";"28,5%";"1.156";"32"
"Atalanta";"Italy";"Serie A";"7.400";"26,5";"37.079.550";"0";"0";"0";"Professional";"17";"18";"17";"15.000";"18.535";"79,5%";"83,0%";"1.106";"32"
"Cremonese";"Italy";"Serie A";"5.950";"30,8";"6.034.940";"0";"0";"0";"Professional";"17";"13";"9";"14.834";"9.000";"41,5%";"42,9%";"1.125";"32"
"Napoli";"Italy";"Serie A";"8.200";"27,9";"62.199.500";"0";"0";"0";"Professional";"17";"12";"14";"54.726";"45.000";"83,4%";"85,9%";"1.150";"32"
"Roma";"Italy";"Serie A";"8.000";"26,9";"17.957.370";"0";"0";"0";"Professional";"18";"18";"15";"69.110";"62.000";"80,6%";"84,3%";"1.100";"32"
"Inter";"Italy";"Serie A";"8.500";"29,2";"22.967.800";"0";"0";"0";"Professional";"18";"18";"15";"75.710";"72.600";"83,6%";"85,2%";"1.135";"32"
"Juventus";"Italy";"Serie A";"8.550";"26,0";"26.182.120";"0";"0";"0";"Professional";"18";"16";"14";"41.507";"38.000";"81,5%";"85,0%";"1.139";"32"
"Lazio";"Italy";"Serie A";"7.800";"28,2";"27.221.100";"0";"0";"0";"Professional";"18";"20";"13";"69.110";"44.500";"79,7%";"82,3%";"1.140";"32"
"Milan";"Italy";"Serie A";"8.350";"27,2";"35.268.460";"0";"0";"0";"Professional";"19";"18";"15";"75.710";"71.800";"82,3%";"85,2%";"1.099";"32"
"Fiorentina";"Italy";"Serie A";"7.400";"27,0";"15.758.810";"0";"0";"0";"Professional";"20";"18";"15";"43.189";"31.135";"78,2%";"81,4%";"1.129";"32"

