Name,UID,Club,Based,Nat,DoB,Height,Weight,Best Pos,Transfer Value,Wage,Preferred Foot,Right Foot,Left Foot,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat.1,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
Hervé Koffi,13175645,Angers,France (Ligue 1),BFA,16/10/1994 (28 years old),186 cm,81 kg,GK,€1M - €2.2M,,Right Only,Very Strong,Weak,3,1,2,1,10,7,7,1,2,3,10,1,3,9,12,13,14,12,11,12,11,1,11,2,12,12,10,13,12,14,13,12,14,12,12,13,14,12,11,11,12,10,12,11,16,9,11
Carlens Arcus,19165169,Angers,France (Ligue 1),HAI,28/6/1994 (29 years old),176 cm,73 kg,D/WB (RL),€800K - €1.8M,"€4,800 p/w",Right Only,Very Strong,Weak,8,11,10,7,12,7,10,7,13,8,13,9,13,11,12,10,13,11,10,10,10,8,8,13,8,14,12,14,14,13,11,10,15,15,15,13,2,1,2,2,2,2,3,3,3,3,2
Louis Mouton,49061089,Angers,France (Ligue 1),FRA,3/6/2000 (23 years old),180 cm,75 kg,M (C),€750K - €1.6M,"€1,700 p/w",Right,Very Strong,Weak,7,4,13,7,12,8,10,9,7,10,10,2,13,12,15,11,9,10,10,14,5,12,9,8,14,9,12,13,14,14,9,10,8,14,8,6,1,2,2,3,1,1,3,3,3,2,2
Marius Savidan,2002044773,Angers,France (Ligue 1),FRA,15/5/2005 (18 years old),182 cm,73 kg,ST (C),€700K - €1.6M,€650 p/w,Right,Very Strong,Weak,6,3,13,13,13,6,13,5,3,6,6,11,4,8,8,13,4,12,7,10,8,10,7,11,6,6,6,7,13,11,7,6,11,12,7,6,3,3,2,1,2,4,3,4,3,3,2
Emmanuel Biumla,2000209925,Angers,France (Ligue 1),FRA,8/5/2003 (20 years old),185 cm,75 kg,"DM, M (C)",€650K - €1.4M,€650 p/w,Right,Very Strong,Weak,4,4,9,7,11,5,12,7,5,10,12,6,11,9,11,10,12,10,11,12,14,9,7,8,11,12,12,15,11,12,11,12,14,11,13,12,1,1,2,3,2,3,2,3,1,3,2
Amine Sbaï,2000112113,Angers,France (Ligue 1),FRA,5/11/1998 (24 years old),175 cm,68 kg,"AM (RL), ST (RL)",€550K - €1.6M,"€2,800 p/w",Right,Very Strong,Reasonable,10,9,15,11,12,10,7,11,8,6,12,6,11,13,10,8,7,12,10,11,13,12,12,11,9,11,11,10,13,10,11,8,13,13,12,6,2,2,1,4,1,4,4,3,2,2,1
Jordan Lefort,85072878,Angers,France (Ligue 1),FRA,9/8/1991 (31 years old),184 cm,81 kg,D (RL),€170K - €1.7M,"€5,500 p/w",Left,Weak,Very Strong,7,12,10,7,12,7,13,10,13,12,12,10,13,11,12,13,13,11,13,13,14,6,10,10,12,13,10,13,12,12,12,13,13,12,14,12,1,3,2,1,1,2,1,3,1,3,3
Justin Kalumba,2000198878,Angers,France (Ligue 1),FRA,25/12/2002 (20 years old),182 cm,74 kg,"M/AM (RL), ST (RL)",€160K - €1.6M,"€3,200 p/w",Right,Very Strong,Weak,8,12,13,13,10,7,7,6,4,7,9,7,6,13,14,9,9,9,6,12,6,13,11,9,8,8,9,9,13,9,6,12,9,9,13,5,3,3,1,3,3,4,2,1,1,2,2
Jim Allevinah,50039251,Angers,France (Ligue 1),GAB,27/2/1993 (30 years old),172 cm,61 kg,"M/AM (RL), ST (RL)",€150K - €1.5M,"€6,000 p/w",Right,Very Strong,Weak,8,12,14,9,13,8,9,11,5,8,12,10,5,14,10,11,13,11,11,12,14,10,10,12,5,11,11,12,15,12,10,10,12,14,13,13,2,3,2,1,2,3,2,2,3,3,1
Marius Courcoul,2000271170,Angers,France (Ligue 1),FRA,1/1/2005 (18 years old),175 cm,67 kg,M (C),€140K - €1.4M,€650 p/w,Right,Very Strong,Fairly Strong,8,8,4,9,9,8,9,10,2,10,15,1,12,14,8,12,8,5,9,10,5,5,10,9,14,9,9,14,10,12,9,9,14,12,10,8,3,1,1,2,3,2,3,2,2,4,1
Sidiki Chérif,2000271175,Angers,France (Ligue 1),FRA,15/12/2004 (18 years old),185 cm,73 kg,ST (C),€110K - €1.1M,€775 p/w,Left Only,Weak,Very Strong,7,11,14,14,13,6,10,8,4,7,11,10,3,14,12,10,8,11,7,11,10,13,1,13,6,8,9,10,13,12,9,13,11,11,14,6,3,3,1,3,3,1,1,1,4,1,3
Florent Hanin,85058541,Angers,France (Ligue 1),FRA,4/2/1988 (35 years old),177 cm,73 kg,D/WB (RL),€80K - €250K,"€4,800 p/w",Left Only,Weak,Very Strong,12,13,12,8,12,13,10,10,11,10,13,12,11,13,12,10,8,13,15,13,11,11,11,13,14,12,12,11,12,12,14,8,14,13,12,12,4,2,3,1,1,3,3,2,1,1,2
Noah Nadje,2000035163,Angers,France (Ligue 1),FRA,12/11/2001 (21 years old),186 cm,75 kg,ST (C),€55K - €550K,"€3,200 p/w",Left,Weak,Very Strong,8,9,11,12,12,8,10,10,4,6,11,10,5,12,9,11,11,10,10,10,13,11,7,12,10,12,10,12,12,11,12,11,12,12,11,12,3,1,1,2,2,2,3,3,2,3,3
Lilian Raolisoa,49053847,Angers,France (Ligue 1),FRA,16/6/1998 (25 years old),178 cm,75 kg,D/WB (RL),€55K - €550K,"€4,800 p/w",Right,Very Strong,Weak,6,13,10,8,12,6,7,10,5,11,13,6,12,13,13,12,13,12,12,12,13,11,7,13,12,13,12,14,12,13,11,7,12,12,13,13,3,2,3,1,2,2,3,2,2,1,3
Salifou Sylla,2000280407,Angers,France (Ligue 1),FRA,10/1/2005 (18 years old),192 cm,76 kg,D (C),€50K - €475K,€650 p/w,Right,Very Strong,Reasonable,3,3,1,2,7,1,14,2,2,13,7,1,13,4,15,6,9,7,9,13,18,6,8,6,12,6,1,7,9,12,7,14,15,13,5,4,3,1,2,2,3,2,3,1,1,3,1
Abdoulaye Bamba,43013866,Angers,France (Ligue 1),CIV,25/4/1988 (35 years old),182 cm,72 kg,D/WB (RL),€35K - €350K,"€6,000 p/w",Right,Very Strong,Reasonable,7,12,9,5,11,6,12,7,15,13,9,6,13,10,12,13,13,12,11,11,13,7,11,11,12,14,11,14,13,13,14,12,15,13,13,12,1,3,2,1,2,1,1,3,1,3,2
Jacques Ekomié,2000162331,Angers,France (Ligue 1),GAB,19/8/2001 (21 years old),179 cm,73 kg,D/WB (RL),€24K - €230K,€875 p/w,Left Only,Weak,Very Strong,4,11,12,5,13,5,7,7,9,10,11,3,10,13,13,13,16,13,12,12,16,9,9,10,12,11,12,10,12,12,14,11,16,12,11,9,3,2,1,2,3,1,3,2,1,1,2
Melvin Zinga,49048391,Angers,France (Ligue 1),FRA,16/3/2000 (23 years old),187 cm,77 kg,GK,€18K - €180K,€650 p/w,Right,Very Strong,Fairly Strong,4,3,1,3,1,7,1,1,1,1,7,2,3,1,9,11,13,8,10,13,6,2,7,2,9,8,7,6,12,12,4,12,13,11,1,5,11,9,5,7,12,12,11,10,13,8,8
Yassin Belkhdim,2000009119,Angers,France (Ligue 1),FRA,14/2/2000 (23 years old),175 cm,68 kg,AM (C),€14K - €150K,€650 p/w,Right,Very Strong,Weak,8,10,15,11,9,8,8,8,6,8,6,4,6,12,5,11,8,8,10,12,16,10,10,10,9,10,15,14,14,10,10,7,12,12,13,6,1,3,3,3,1,2,3,2,1,3,3
Pierrick Capelle,85098947,Angers,France (Ligue 1),FRA,15/4/1985 (38 years old),181 cm,73 kg,M (C),€12K - €120K,"€9,250 p/w",Left,Reasonable,Very Strong,10,11,12,9,13,11,9,14,6,11,12,10,11,12,12,11,13,12,12,12,14,12,10,13,12,15,12,15,12,12,12,10,14,12,13,12,3,3,3,2,3,1,3,3,2,1,1
Declan Rice,28106491,Arsenal,England (Premier League),ENG,14/1/1997 (26 years old),185 cm,80 kg,M (C),€122M - €136M,"€300,000 p/w",Right,Very Strong,Reasonable,13,13,14,9,14,8,14,9,10,15,15,11,17,15,13,18,15,17,15,18,17,10,16,16,17,19,14,17,13,13,14,14,18,14,17,14,3,2,1,1,3,1,1,2,3,1,3
Martin Ødegaard,53095137,Arsenal,England (Premier League),NOR,17/12/1996 (26 years old),178 cm,68 kg,"M (C), AM (RLC), ST (RL)",€120M - €133M,"€250,000 p/w",Left,Reasonable,Very Strong,16,15,16,13,18,14,8,17,4,10,17,14,9,18,8,18,10,16,15,17,16,16,14,17,9,18,19,15,13,16,15,9,13,13,15,11,3,3,1,1,3,1,1,2,1,2,2
Bukayo Saka,28122642,Arsenal,England (Premier League),ENG,5/9/1999 (23 years old),178 cm,69 kg,"M/AM (RL), ST (RL)",€106M - €144M,"€300,000 p/w",Left,Fairly Strong,Very Strong,13,14,17,14,15,9,7,16,6,9,13,15,10,16,12,16,12,14,14,16,17,16,9,16,10,17,15,15,17,16,17,9,18,15,16,12,3,2,3,3,1,2,1,3,4,1,3
Gabriel Martinelli,19351309,Arsenal,England (Premier League),BRA,18/6/1999 (24 years old),180 cm,72 kg,"M/AM (RL), ST (RL)",€105M - €118M,"€235,000 p/w",Right,Very Strong,Reasonable,14,12,15,14,15,10,13,8,3,5,12,11,5,16,14,13,14,13,12,13,17,15,6,16,7,16,13,17,17,16,14,11,13,16,16,11,2,2,3,1,1,2,1,2,1,3,3
Gabriel Jesus,19220266,Arsenal,England (Premier League),BRA,3/4/1995 (28 years old),175 cm,73 kg,ST (C),€85M - €103M,"€140,000 p/w",Right,Very Strong,Fairly Strong,8,12,16,14,15,11,15,12,4,7,14,13,8,16,14,16,14,14,14,15,15,16,12,16,10,18,14,18,15,16,15,10,15,15,15,14,3,1,2,3,2,1,3,3,3,2,2
William Saliba,49039004,Arsenal,England (Premier League),FRA,24/3/1999 (24 years old),192 cm,83 kg,D (C),€80M - €103M,"€220,000 p/w",Right,Very Strong,Reasonable,6,10,11,9,14,6,16,11,6,15,13,10,16,13,15,17,14,17,15,15,15,11,10,8,14,17,12,15,14,14,15,16,14,14,16,16,3,3,3,1,2,2,3,3,1,3,3
Viktor Gyökeres,93070271,Arsenal,England (Premier League),SWE,4/6/1996 (27 years old),187 cm,86 kg,ST (C),€79M - €88M,"€105,000 p/w",Right,Very Strong,Reasonable,6,10,14,17,14,7,12,12,6,6,11,16,8,13,17,14,14,15,13,13,18,13,7,14,9,14,13,19,15,12,14,13,20,15,19,18,1,4,1,3,2,1,3,2,3,2,2
Gabriel,19242094,Arsenal,England (Premier League),BRA,19/12/1995 (27 years old),190 cm,78 kg,D (C),€72M - €88M,"€115,000 p/w",Left,Reasonable,Very Strong,4,7,10,6,12,4,17,6,7,15,13,7,16,13,16,14,16,12,13,14,13,8,11,9,15,16,13,14,13,13,14,17,13,15,16,17,3,2,2,1,3,3,3,3,3,4,3
Kai Havertz,91151081,Arsenal,England (Premier League),GER,11/6/1997 (26 years old),191 cm,84 kg,"M (C), AM (RLC), ST (RL)",€66M - €73M,"€250,000 p/w",Left,Reasonable,Very Strong,10,10,14,11,17,11,14,11,8,8,16,13,10,17,11,15,11,11,10,14,10,15,7,15,11,15,15,13,14,13,13,14,16,14,15,13,3,3,2,1,1,4,2,3,2,4,4
Kepa Arrizabalaga,67157624,Arsenal,England (Premier League),ESP,3/10/1992 (30 years old),188 cm,88 kg,GK,€65M - €82M,"€51,000 p/w",Right,Very Strong,Reasonable,6,1,3,1,11,11,1,2,2,3,11,3,2,11,8,14,10,14,15,13,13,3,10,5,12,13,11,12,9,15,12,14,12,12,12,12,13,13,13,5,15,15,15,13,16,12,13
Benjamin White,29141472,Arsenal,England (Premier League),ENG,8/10/1995 (27 years old),185 cm,78 kg,D/WB (RL),€63M - €77M,"€105,000 p/w",Right,Very Strong,Reasonable,3,11,11,5,14,3,15,6,7,15,14,5,15,14,13,17,15,16,14,15,16,13,11,12,16,16,13,14,14,14,13,13,13,14,15,14,2,3,1,3,1,3,1,2,1,3,1
Jurriën Timber,37063644,Arsenal,England (Premier League),NED,17/6/1999 (24 years old),179 cm,79 kg,D/WB (RL),€62M - €79M,"€130,000 p/w",Right,Very Strong,Reasonable,4,9,10,7,14,9,13,7,7,13,15,8,13,15,13,14,14,15,14,14,16,12,10,13,15,16,12,15,14,15,13,13,12,15,14,12,2,4,2,3,1,1,1,3,1,2,3
David Raya,29111433,Arsenal,England (Premier League),ESP,15/9/1993 (29 years old),183 cm,70 kg,GK,€52M - €57M,"€80,000 p/w",Right,Very Strong,Reasonable,6,2,1,1,13,9,8,3,1,2,14,3,3,13,12,14,14,14,13,12,14,13,11,6,13,12,15,13,12,17,10,12,16,10,12,11,13,13,14,13,15,17,14,13,16,17,16
Riccardo Calafiori,43424738,Arsenal,England (Premier League),ITA,19/5/2000 (23 years old),188 cm,86 kg,D/WB (RL),€45M - €59M,"€43,500 p/w",Left,Reasonable,Very Strong,7,12,13,8,13,7,12,12,11,13,14,7,14,14,15,17,11,14,13,14,15,13,8,12,13,14,12,14,13,12,14,13,12,14,14,13,1,2,2,2,1,3,3,1,2,1,2
Noni Madueke,37076092,Arsenal,England (Premier League),ENG,10/3/2000 (23 years old),176 cm,73 kg,"M/AM (RL), ST (RL)",€45M - €58M,"€48,500 p/w",Left,Reasonable,Very Strong,12,11,17,13,15,9,11,11,11,3,12,11,5,15,7,10,14,15,11,11,12,16,5,12,5,10,8,12,15,15,14,13,15,16,11,14,3,2,2,1,2,4,1,2,2,3,1
Piero Hincapié,86066853,Arsenal,England (Premier League),ECU,9/1/2000 (23 years old),184 cm,77 kg,D (C),€45M - €55M,,Left,Weak,Very Strong,3,10,12,6,12,4,13,6,14,15,13,8,15,12,16,13,17,13,13,12,17,11,10,11,14,13,12,16,14,12,13,14,13,15,14,14,1,3,1,3,2,3,2,1,3,1,2
Myles Lewis-Skelly,2000283274,Arsenal,England (Premier League),ENG,26/9/2004 (18 years old),178 cm,73 kg,"M (C), AM (RLC), ST (RL)",€45M,"€1,200 p/w",Left,Reasonable,Very Strong,14,11,16,11,15,14,10,12,5,9,14,12,14,16,13,12,10,13,10,11,14,13,10,13,10,15,14,14,16,16,15,12,12,15,13,14,4,2,3,1,2,1,2,1,1,2,2
Martín Zubimendi,67246385,Arsenal,England (Premier League),ESP,2/2/1997 (26 years old),181 cm,74 kg,M (C),€40M - €44M,"€71,000 p/w",Right,Very Strong,Fairly Strong,9,10,13,11,16,8,14,13,9,15,16,12,14,15,14,14,12,13,15,15,11,8,12,7,14,16,14,15,12,13,12,11,15,11,14,14,1,1,3,3,2,4,1,3,3,2,3
Leandro Trossard,18054004,Arsenal,England (Premier League),BEL,4/12/1992 (30 years old),172 cm,67 kg,"AM (RL), ST (RL)",€36M - €45M,"€130,000 p/w",Right,Very Strong,Strong,14,12,15,14,14,12,6,13,4,6,14,13,4,16,13,12,13,13,14,13,13,15,8,15,9,13,15,13,16,15,13,6,12,15,13,9,1,2,2,3,4,4,2,4,2,2,2
Mikel Merino,67211760,Arsenal,England (Premier League),ESP,22/6/1994 (29 years old),187 cm,79 kg,M (C),€34M - €46M,"€84,000 p/w",Left,Reasonable,Very Strong,8,11,14,10,14,10,14,12,8,14,16,10,13,15,15,13,15,13,15,14,16,13,12,14,14,15,16,15,12,13,13,14,16,13,17,16,2,3,1,3,2,2,4,2,3,3,1
Ebere Eze,29156522,Arsenal,England (Premier League),ENG,29/6/1996 (27 years old),178 cm,69 kg,"M (C), AM (RLC), ST (RL)",€30M - €40M,"€66,000 p/w",Right,Very Strong,Fairly Strong,14,13,17,13,15,13,6,13,5,6,15,13,7,17,8,13,8,16,13,13,15,17,9,14,9,15,15,13,13,16,16,9,13,13,12,13,2,1,3,1,2,3,3,3,2,3,3
Christian Nørgaard,27039017,Arsenal,England (Premier League),DEN,10/3/1992 (31 years old),187 cm,76 kg,"DM, M (C)",€25M - €28M,"€58,000 p/w",Right,Very Strong,Fairly Strong,9,10,12,9,14,9,14,9,9,14,14,8,14,14,14,15,14,14,15,14,15,12,15,12,15,15,16,16,12,11,13,14,15,12,16,12,1,3,1,1,3,1,1,3,1,3,3
Harvey Elliott,29233143,Aston Villa,England (Premier League),ENG,4/4/2001 (22 years old),170 cm,64 kg,"M (C), AM (RLC), ST (RL)",€60M - €76M,,Left Only,Weak,Very Strong,12,15,14,9,17,12,7,10,7,9,17,12,10,16,13,14,14,15,15,15,16,14,10,16,10,17,16,17,12,16,15,7,11,12,14,11,1,3,3,3,2,1,3,2,2,2,1
Amadou Onana,91207274,Aston Villa,England (Premier League),BEL,16/8/1999 (23 years old),192 cm,76 kg,"DM, M (C)",€50M - €78M,"€55,000 p/w",Right,Very Strong,Fairly Strong,7,9,14,10,13,9,12,10,8,12,14,9,15,14,15,11,14,13,12,12,14,14,12,11,14,10,14,14,12,13,15,15,13,17,14,14,4,3,2,3,1,1,3,2,2,2,2
Ian Maatsen,28121372,Aston Villa,England (Premier League),NED,10/3/2000 (23 years old),167 cm,65 kg,"M/AM (RL), ST (RL)",€36M - €56M,"€61,000 p/w",Left,Reasonable,Very Strong,11,13,13,11,12,12,8,11,6,11,13,11,11,14,9,11,11,12,11,11,17,12,7,10,11,12,11,14,15,13,13,6,13,15,15,7,4,3,3,3,2,2,3,1,1,3,4
